title,description,label_int,label
World Briefings,BRITAIN: BLAIR WARNS OF CLIMATE THREAT Prime Minister Tony Blair urged the international community to consider global warming a dire threat and agree on a plan of action to curb the  quot;alarming quot; growth of greenhouse gases.,1,World
Nvidia Puts a Firewall on a Motherboard (PC World),PC World - Upcoming chip set will include built-in security features for your PC.,4,Sci/Tech
"Olympic joy in Greek, Chinese press","Newspapers in Greece reflect a mixture of exhilaration that the Athens Olympics proved successful, and relief that they passed off without any major setback.",2,Sports
U2 Can iPod with Pictures,"SAN JOSE, Calif. -- Apple Computer (Quote, Chart) unveiled a batch of new iPods, iTunes software and promos designed to keep it atop the heap of digital music players.",4,Sci/Tech
The Dream Factory,"Any product, any shape, any size -- manufactured on your desktop! The future is the fabricator. By Bruce Sterling from Wired magazine.",4,Sci/Tech
"Fierce clashes kill three US soldiers, injure 14 in Afghanistan","KABUL, Sept 22 (AFP): Three US soldiers were killed and 14 wounded in a series of fierce clashes with suspected Taliban fighters in south and eastern Afghanistan this week, the US military said Wednesday.",1,World
US-EU talks on Airbus subsidies fail,The EU and US moved closer to an aviation trade war after failing to reach agreement during talks Thursday on subsidies to Airbus Industrie.,3,Business
Aussie alive after capture in Iraq,AUSTRALIAN journalist John Martinkus is lucky to be alive after spending 24 hours in the hands of Iraqi militants at the weekend. Martinkus was in Baghdad working for the SBS Dateline TV current affairs program ,1,World
Israeli Helicopter Fires Missile in Gaza -Witnesses," GAZA (Reuters) - An Israeli helicopter fired a missile into  a town in the southern Gaza Strip late on Wednesday, witnesses  said, hours after a Palestinian suicide bomber blew herself up  in Jerusalem, killing two Israeli border policemen.",1,World
Ballmer: We need a \$100 PC,The Microsoft CEO says one way to stem growing piracy of Windows and Office in emerging markets is to offer low-cost computers.,4,Sci/Tech
British man gunned down in Saudi Arabia,"RIYADH, Saudi Arabia -- Saudi police are seeking two young men in the killing of a Briton in a Riyadh parking lot, the Interior Ministry said today, and the British ambassador called it a terrorist attack.",1,World
Rain hands prime spots to top 10,"Loudon, NH -- As the rain began falling late Friday afternoon at New Hampshire International Speedway, the rich in the Nextel Cup garage got richer.",2,Sports
PalmSource to add Linux OS to offerings,"PalmSource surprised the mobile vendor community today with the announcement that it will acquire China MobileSoft (CMS), ostensibly to leverage that company's expertise in building a mobile version of the Linux operating system.",4,Sci/Tech
Plan to let soldiers vote by e-mail is questioned,JEFFERSON CITY - An election security expert has raised questions about Missouri Secretary of State Matt Blunt #39;s plan to let soldiers at remote duty stations or in combat areas cast their ballots with the help of e-mail.,4,Sci/Tech
China Mine Blast Kills 33 in 10th Mishap in 3 Months (Update1),A gas explosion at a coal mine in northern China killed 33 workers in the 10th deadly mine blast reported in three months. The explosion occurred yesterday at 4:20 pm at Nanlou township ,1,World
Palestinian Abbas Calls Israel 'The Zionist Enemy' (Reuters),"Reuters - Palestinian leader Mahmoud Abbas called\Israel ""the Zionist enemy"" Tuesday, unprecedented language for\the relative moderate who is expected to succeed Yasser Arafat.",1,World
Senators' Hossa Heads to Swedish League (AP),AP - Ottawa Senators right wing Marian Hossa is switching European teams during the NHL lockout.,2,Sports
AOL Shuns Mac Users With New PassCode Service,"A new, optional log-on service from America Online that makes it harder for scammers to access a persons online account will not be available for Macintosh ",4,Sci/Tech
PNA receives Arafat #39;s medical report,"Nasser al-Qidwa, Palestinian representative at the United Nations and nephew of late leader Yasser Arafat, handed Arafat #39;s death report to the Palestinian National Authority (PNA) on Saturday.",1,World
France Appeals for Hostages' Release,"CAIRO, Egypt - France's foreign minister appealed Monday for the release of two French journalists abducted in Baghdad, saying the French respect all religions. He did not rule out traveling to Baghdad...",1,World
Chelsea Cancels Mutu #39;s Contract After Drug Admission (Update1),"Chelsea terminated Romania striker Adrian Mutu #39;s contract, citing gross misconduct after the player failed a doping test for cocaine and admitted taking the drug, the English soccer club said in a statement.",2,Sports
UAE president dies at 86,"United Arab Emirates President and ruler of Abu Dhabi Sheik Zayed bin Sultan al-Nayhan died Tuesday, official television reports. He was 86.",1,World
Arafat appeals to kidnappers,PALESTINIAN leader Yasser Arafat today issued an urgent call for the immediate release of two French journalists taken hostage in Iraq.,1,World
"Most terror attacks cost al-Qaida little, report finds","The al-Qaida terrorist network spent less than \$50,000 on each of its major attacks except for the Sept. 11, 2001, suicide hijackings, and one of its hallmarks is using ",1,World
Nike Profit Up 25 Percent on U.S. Demand," SAN FRANCISCO (Reuters) - Nike Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NKE.N target=/stocks/quickinfo/fullquote""&gt;NKE.N&lt;/A&gt;, the world's  largest athletic shoe company, on Monday reported a 25 percent  rise in quarterly profit, beating analysts' estimates, on  strong demand for high-end running and basketball shoes in the  United States.",3,Business
