id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant
44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,NA,Streetwear Ash Nail Polish # 31
