date,conversation_count,median_response_time
2020-09-21,1,
2020-09-26,1,
2025-01-09,1,
2025-01-15,1,845.0
2025-02-05,1,111492.0
2025-02-19,1,121.0
2025-03-20,1,1126.0
2025-03-25,1,6784.0
2025-03-26,1,2865.0
2025-03-28,1,283.0
2025-03-31,4,1704.0
2025-04-01,1,1139.0
2025-04-02,1,27566.0
2025-04-04,1,197049.0
2025-04-07,1,140.0
2025-04-08,2,23034.0
2025-04-09,3,656.5
2025-04-10,2,5971.5
2025-04-11,2,184251.0
2025-04-14,7,28839.5
2025-04-15,2,4705.0
2025-04-16,1,
2025-04-17,1,62936.0
2025-04-21,4,1073.0
2025-04-22,9,36213.0
2025-04-23,6,1301.0
2025-04-24,5,9609.5
2025-04-25,4,14696.0
2025-04-28,8,32513.5
2025-04-29,10,8928.0
2025-04-30,23,30970.0
2025-05-01,1,34394.0
2025-05-02,6,2028.0
2025-05-03,1,64800.0
2025-05-04,1,42952.0
2025-05-05,33,3880.5
2025-05-06,24,11333.0
2025-05-07,29,23050.0
2025-05-08,49,18915.0
2025-05-09,60,12369.5
2025-05-10,1,
2025-05-11,3,108191.5
2025-05-12,59,20055.0
2025-05-13,82,14927.0
2025-05-14,111,9738.0
2025-05-15,129,6755.0
2025-05-16,110,5714.0
2025-05-17,14,4220.0
2025-05-18,8,28112.5
2025-05-19,179,6173.0
2025-05-20,162,3762.5
2025-05-21,206,2698.0
2025-05-22,125,5653.0
