event_name,count,percentage
Visualizó inicio colppy,40,27.03%
Login,22,14.86%
$identify,10,6.76%
Abrió el módulo mi cuenta colppy,10,6.76%
Click en icono ayuda,10,6.76%
Click en Escribinos ahora,8,5.41%
Click en escribinos ahora,8,5.41%
Abrió el módulo clientes,4,2.70%
Abrió el módulo tesorería,4,2.70%
Cambió de empresa,4,2.70%
Vio anuncio e hizo click en importación factura de compra,4,2.70%
app abrió el módulo tablero,4,2.70%
Abrió el módulo proveedores,2,1.35%
Click en quiero que me llamen,2,1.35%
Click en sueldos,2,1.35%
Flow Skipped (Appcues),2,1.35%
Flow Started (Appcues),2,1.35%
Seleccionó la opción recomendá y ganá,2,1.35%
Step Skipped (Appcues),2,1.35%
Step Started (Appcues),2,1.35%
app abrió el módulo proveedores,2,1.35%
app login,2,1.35%
TOTAL,148,100.00%
