event_name,count
$identify,5
Abrió el módulo clientes,2
Abrió el módulo mi cuenta colppy,5
Abrió el módulo proveedores,1
Abrió el módulo tesorería,2
Cambió de empresa,2
Click en Escribinos ahora,4
Click en escribinos ahora,4
Click en icono ayuda,5
Click en quiero que me llamen,1
Click en sueldos,1
Flow Skipped (Appcues),1
Flow Started (Appcues),1
Login,11
Seleccionó la opción recomendá y ganá,1
Step Skipped (Appcues),1
Step Started (Appcues),1
Vio anuncio e hizo click en importación factura de compra,2
Visualizó inicio colppy,20
app abrió el módulo proveedores,1
app abrió el módulo tablero,2
app login,1
